,codigo,time1,time2,gols1,gols2,ataque1,ataque2,chutes1,chutes2,passes_area1,passes_area2,desarmes1,desarmes2,passes_completados1,passes_completados2,posse_bola1,posse_bola2,chutes_certos1,chutes_certos2,chutes_bloqueados1,chutes_bloqueados2,chutes_defendidos1,chutes_defendidos2,chutes_fora1,chutes_fora2,chutes_trave1,chutes_trave2,bola_parada1,bola_parada2,cruzamentos1,cruzamentos2,escanteios1,escanteios2,impedimentos1,impedimentos2,defesas1,defesas2,bolas_recuperadas1,bolas_recuperadas2,bolas_perdidas1,bolas_perdidas2,carrinho1,carrinho2,faltas_cometidas1,faltas_cometidas2,cartao_amarelo1,cartao_amarelo2,cartao_vermelho1,cartao_vermelho2,dist_total1,dist_com_bola1,dist_sem_bola1,dist_total2,dist_com_bola2,dist_sem_bola2,passes1,passes_curtos1,passes_medios1,passes_longos1,passes2,passes_curtos2,passes_medios2,passes_longos2,porc_passes_completos1,porc_passes_completos2
0,300186479,Bélgica,Argélia,2,1,49,7,16,3,6,1,14,19,547,206,65,35,10,1,2,0,6,0,6,2,0,0,2,1,24,9,7,2,3,0,0,6,39,36,71,70,0,0,20,18,1,1,0,0,109967,49574,28908,113474,28409,52855,665,135,446,84,336,82,182,72,82,61
1,300186509,Brasil,México,0,0,38,33,14,13,11,5,14,20,352,299,54,46,8,3,2,1,6,2,6,10,0,0,4,1,28,14,4,3,5,0,2,6,36,51,77,68,0,0,13,18,2,2,0,0,97356,35185,34203,100240,33681,37567,476,125,270,81,404,112,224,68,74,74
2,300186499,Rússia,Coreia do Sul,1,1,47,35,16,10,15,4,9,17,408,426,48,52,10,6,5,1,4,4,6,4,0,0,2,3,28,12,4,4,0,0,4,4,46,51,86,83,0,0,15,7,1,3,0,0,113814,40538,43968,108136,39681,39592,542,125,349,68,550,143,316,91,75,77
3,300186456,Brasil,Croácia,3,1,48,38,14,10,10,5,7,13,433,284,58,42,9,4,3,1,3,3,5,6,0,0,3,0,20,14,7,3,1,0,3,3,40,41,85,84,0,0,5,21,2,2,0,0,102099,40574,31488,109171,32446,45839,566,158,326,82,410,113,235,62,77,69
4,300186492,México,Camarões,1,0,41,36,9,10,9,7,10,11,484,284,58,42,5,4,1,3,3,1,4,6,0,1,0,1,17,20,2,5,5,3,1,3,35,38,72,74,0,0,11,12,1,1,0,0,104443,38445,30051,100072,27968,38940,598,144,378,76,391,96,239,56,81,73
5,300186510,Espanha,Holanda,1,5,40,33,9,13,7,9,6,5,566,318,57,43,6,11,2,1,3,5,3,2,0,2,2,1,8,8,4,1,5,5,5,3,30,43,70,59,0,0,5,18,1,3,0,0,102044,40005,34612,109387,36951,43758,680,232,390,58,425,91,239,95,83,75
6,300186473,Chile,Austrália,3,1,41,33,11,13,13,7,10,12,615,324,62,38,9,6,4,2,2,3,2,7,0,0,0,0,15,18,3,1,1,1,3,2,40,44,77,78,0,0,9,18,1,3,0,0,113557,51005,33263,115898,32611,54839,729,153,463,113,434,95,268,71,84,75
7,300186471,Colômbia,Grécia,3,0,42,47,12,12,14,5,13,7,328,377,46,54,8,7,2,2,3,4,4,5,0,1,1,2,8,23,4,4,1,3,4,3,30,33,65,66,0,0,19,14,1,2,0,0,107622,36949,41136,104859,39894,36415,430,111,253,66,501,120,298,83,76,75
8,300186489,Uruguai,Costa Rica,1,3,34,23,9,12,4,4,6,12,387,313,54,46,5,4,2,0,2,1,4,8,0,0,2,5,15,17,5,6,6,2,1,2,40,33,72,79,0,0,20,18,3,0,1,0,104265,32426,30926,108611,31902,34334,513,115,322,76,443,116,259,68,75,71
9,300186513,Inglaterra,Itália,1,2,60,31,18,12,8,7,4,10,467,606,48,52,8,5,3,2,4,1,10,7,0,2,2,1,25,9,9,2,0,7,1,4,31,27,53,60,0,0,8,12,1,0,0,0,107259,40398,45946,110467,45984,43797,544,133,340,71,679,207,412,60,86,89
10,300186507,Costa do Marfim,Japão,2,1,40,27,19,7,11,4,20,7,456,324,58,42,9,4,3,1,4,2,10,3,0,0,3,0,19,13,8,5,3,1,2,4,44,41,75,79,0,0,12,13,2,2,0,0,97234,39687,31281,108258,33795,46258,570,120,375,75,454,153,230,71,80,71
11,300186494,Suíça,Equador,2,1,44,33,18,10,9,6,11,13,468,266,56,44,12,6,5,2,5,3,6,4,0,0,3,2,22,18,8,5,1,4,3,5,30,33,73,67,0,0,9,15,1,1,0,0,113635,45039,36519,98921,29599,40463,583,156,360,67,376,86,206,84,80,71
12,300186496,França,Honduras,3,0,55,9,20,4,19,0,3,13,624,251,63,37,10,2,6,1,2,1,10,2,3,0,4,0,32,6,8,0,1,2,1,2,34,32,59,64,0,0,13,14,3,4,0,0,108186,49894,29487,98778,25462,47578,717,210,431,76,347,98,181,68,87,72
13,300186477,Argentina,Bósnia e Herzegovina,2,1,42,41,11,16,12,6,12,8,536,392,56,44,5,11,1,5,3,5,6,5,0,0,1,4,11,24,2,6,0,3,5,3,42,46,82,74,0,0,10,14,1,1,0,0,105439,42552,38254,115493,40022,49127,637,158,415,64,498,122,303,73,84,79
14,300186475,Alemanha,Portugal,4,0,42,36,13,14,9,6,11,8,483,391,54,46,9,9,2,5,2,4,4,5,0,0,3,4,17,21,4,6,2,1,4,2,48,38,72,76,0,0,8,11,0,1,0,1,111658,42730,39840,101874,34402,41546,588,138,361,89,491,113,307,71,82,80
15,300186505,Irã,Nigéria,0,0,22,46,7,10,10,7,28,9,192,464,37,63,3,6,2,2,1,4,4,4,0,0,1,2,15,34,2,7,1,0,4,1,45,37,75,78,0,0,18,16,1,0,0,0,108295,27495,46093,100111,40977,27246,309,76,163,70,602,118,406,78,62,77
